Average Time;Global Size;LocalSize
1.73116e-05;53;14
1.75285e-05;54;14
1.71542e-05;55;14
1.69277e-05;56;14
1.82581e-05;57;14
1.94001e-05;58;14
1.00589e-05;59;14
2.01869e-05;60;14
1.94407e-05;61;14
1.94788e-05;62;14
1.8239e-05;63;14
1.92022e-05;64;14
1.53637e-05;1;15
1.42288e-05;2;15
1.93763e-05;3;15
1.96719e-05;4;15
2.10881e-05;5;15
2.06113e-05;6;15
2.11263e-05;7;15
2.12455e-05;8;15
2.141e-05;9;15
2.07305e-05;10;15
2.16174e-05;11;15
2.12193e-05;12;15
2.01964e-05;13;15
2.07114e-05;14;15
1.94311e-05;15;15
1.97029e-05;16;15
1.91188e-05;17;15
1.11437e-05;18;15
2.04086e-05;19;15
2.14171e-05;20;15
2.08306e-05;21;15
2.08044e-05;22;15
2.17295e-05;23;15
2.10428e-05;24;15
1.95432e-05;25;15
1.93262e-05;26;15
1.90163e-05;27;15
2.04468e-05;28;15
1.96075e-05;29;15
1.93977e-05;30;15
2.02918e-05;31;15
1.06978e-05;32;15
1.92904e-05;33;15
1.86801e-05;34;15
1.81627e-05;35;15
1.58548e-05;36;15
1.34397e-05;37;15
1.83487e-05;38;15
1.83845e-05;39;15
1.85704e-05;40;15
1.89948e-05;41;15
1.8301e-05;42;15
1.98221e-05;43;15
1.93882e-05;44;15
1.88279e-05;45;15
1.91736e-05;46;15
1.8661e-05;47;15
1.90258e-05;48;15
1.90043e-05;49;15
1.81746e-05;50;15
1.86849e-05;51;15
1.92595e-05;52;15
1.89757e-05;53;15
1.94263e-05;54;15
1.81723e-05;55;15
1.93858e-05;56;15
1.86276e-05;57;15
1.8754e-05;58;15
1.85132e-05;59;15
1.87302e-05;60;15
6.6216e-05;61;15
4.47011e-05;62;15
3.824e-05;63;15
3.21555e-05;64;15
2.87461e-05;1;16
2.32792e-05;2;16
2.41089e-05;3;16
2.26021e-05;4;16
2.59209e-05;5;16
2.24566e-05;6;16
2.21252e-05;7;16
2.14934e-05;8;16
2.27499e-05;9;16
2.25806e-05;10;16
2.22516e-05;11;16
2.28453e-05;12;16
2.31075e-05;13;16
2.07472e-05;14;16
2.10452e-05;15;16
2.25663e-05;16;16
2.09332e-05;17;16
2.05088e-05;18;16
2.11143e-05;19;16
2.12574e-05;20;16
